Имя объекта;Тип объекта;Синоним;Файл
Справочник.ГруппыПлательщиковЕдиногоНалога;Справочник;Групи платників єдиного податку;Справочник_ГруппыПлательщиковЕдиногоНалога.md
Справочник.ГруппыПользователей;Справочник;Групи користувачів;Справочник_ГруппыПользователей.md
Справочник.ДействияРабочегоПроцесса;Справочник;Дії робочого процесу;Справочник_ДействияРабочегоПроцесса.md
Справочник.Делегирование;Справочник;Делегування права підпису;Справочник_Делегирование.md
Справочник.ДисконтныеКарты;Справочник;Дисконтні картки;Справочник_ДисконтныеКарты.md
Справочник.ДоговорКредитаИЗаймаПрисоединенныеФайлы;Справочник;Приєднані файли (Договір кредиту і позики);Справочник_ДоговорКредитаИЗаймаПрисоединенныеФайлы.md
Справочник.ДоговорыКонтрагентов;Справочник;Договори;Справочник_ДоговорыКонтрагентов.md
Справочник.ДоговорыКонтрагентовПрисоединенныеФайлы;Справочник;Приєднані файли (Договори контрагентів);Справочник_ДоговорыКонтрагентовПрисоединенныеФайлы.md
Справочник.Должности;Справочник;Посади;Справочник_Должности.md
Справочник.ДополнительныеОтчетыИОбработки;Справочник;Додаткові звіти та обробки;Справочник_ДополнительныеОтчетыИОбработки.md
Справочник.ДополнительныеРасходыПрисоединенныеФайлы;Справочник;Приєднані файли (Додаткові витрати);Справочник_ДополнительныеРасходыПрисоединенныеФайлы.md
Справочник.ДополнительныеУсловия;Справочник;Додаткові умови;Справочник_ДополнительныеУсловия.md
Справочник.ДрайверыОборудования;Справочник;Драйвери обладнання;Справочник_ДрайверыОборудования.md
Справочник.ЕдиницыИзмерения;Справочник;Од. вим.;Справочник_ЕдиницыИзмерения.md
Справочник.ЗаданиеНаРаботуПрисоединенныеФайлы;Справочник;Приєднані файли (Завдання на роботу);Справочник_ЗаданиеНаРаботуПрисоединенныеФайлы.md
Справочник.ЗадачаСотрудникаПрисоединенныеФайлы;Справочник;Приєднані файли (Завдання);Справочник_ЗадачаСотрудникаПрисоединенныеФайлы.md
Справочник.ЗаказНаПеремещениеПрисоединенныеФайлы;Справочник;Приєднані файли (Замовлення на переміщення);Справочник_ЗаказНаПеремещениеПрисоединенныеФайлы.md
Справочник.ЗаказНаПроизводствоПрисоединенныеФайлы;Справочник;Приєднані файли (Замовлення на виробництво);Справочник_ЗаказНаПроизводствоПрисоединенныеФайлы.md
Справочник.ЗаказПокупателяПрисоединенныеФайлы;Справочник;Приєднані файли (Замовлення покупця);Справочник_ЗаказПокупателяПрисоединенныеФайлы.md
Справочник.ЗаказПоставщикуПрисоединенныеФайлы;Справочник;Приєднані файли (Замовлення постачальникові);Справочник_ЗаказПоставщикуПрисоединенныеФайлы.md
